"filename", "language", "JSON", "Markdown", "CSS", "HTML", "Python", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\kol\Documents\kol\mafia-srv\.VSCodeCounter\details.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\kol\Documents\kol\mafia-srv\.VSCodeCounter\results.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\kol\Documents\kol\mafia-srv\app.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 9, 49
"c:\Users\kol\Documents\kol\mafia-srv\app_test.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 7, 14, 87
"c:\Users\kol\Documents\kol\mafia-srv\package-lock.json", "JSON", 547, 0, 0, 0, 0, 0, 0, 0, 1, 548
"c:\Users\kol\Documents\kol\mafia-srv\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\kol\Documents\kol\mafia-srv\routes\config.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 2, 4, 9
"c:\Users\kol\Documents\kol\mafia-srv\routes\errors.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 3, 8, 52
"c:\Users\kol\Documents\kol\mafia-srv\routes\game.js", "JavaScript", 0, 0, 0, 0, 0, 342, 0, 13, 38, 393
"c:\Users\kol\Documents\kol\mafia-srv\routes\user.js", "JavaScript", 0, 0, 0, 0, 0, 271, 0, 15, 46, 332
"c:\Users\kol\Documents\kol\mafia\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kol\Documents\kol\mafia\backend\backend.py", "Python", 0, 0, 0, 0, 393, 0, 0, 2, 47, 442
"c:\Users\kol\Documents\kol\mafia\backend\rest_server.py", "Python", 0, 0, 0, 0, 149, 0, 0, 2, 22, 173
"c:\Users\kol\Documents\kol\mafia\backend\test.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\kol\Documents\kol\mafia\package-lock.json", "JSON", 15937, 0, 0, 0, 0, 0, 0, 0, 1, 15938
"c:\Users\kol\Documents\kol\mafia\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\kol\Documents\kol\mafia\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\kol\Documents\kol\mafia\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\kol\Documents\kol\mafia\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\kol\Documents\kol\mafia\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 55, 7, 94
"c:\Users\kol\Documents\kol\mafia\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\kol\Documents\kol\mafia\src\Drawer.js", "JavaScript", 0, 0, 0, 0, 0, 310, 0, 1, 17, 328
"c:\Users\kol\Documents\kol\mafia\src\GameCard.js", "JavaScript", 0, 0, 0, 0, 0, 389, 0, 0, 24, 413
"c:\Users\kol\Documents\kol\mafia\src\GameProfile.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\kol\Documents\kol\mafia\src\InfoBar.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 0, 6, 63
"c:\Users\kol\Documents\kol\mafia\src\InputBox.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 0, 5, 78
"c:\Users\kol\Documents\kol\mafia\src\Login.js", "JavaScript", 0, 0, 0, 0, 0, 146, 0, 22, 11, 179
"c:\Users\kol\Documents\kol\mafia\src\NewGameCard.js", "JavaScript", 0, 0, 0, 0, 0, 79, 0, 0, 9, 88
"c:\Users\kol\Documents\kol\mafia\src\PersonCard.js", "JavaScript", 0, 0, 0, 0, 0, 86, 0, 0, 6, 92
"c:\Users\kol\Documents\kol\mafia\src\PersonName.js", "JavaScript", 0, 0, 0, 0, 0, 107, 0, 0, 8, 115
"c:\Users\kol\Documents\kol\mafia\src\Profile.js", "JavaScript", 0, 0, 0, 0, 0, 272, 0, 43, 21, 336
"c:\Users\kol\Documents\kol\mafia\src\app_context.js", "JavaScript", 0, 0, 0, 0, 0, 60, 0, 0, 13, 73
"c:\Users\kol\Documents\kol\mafia\src\backend.js", "JavaScript", 0, 0, 0, 0, 0, 77, 0, 0, 5, 82
"c:\Users\kol\Documents\kol\mafia\src\dict.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
"c:\Users\kol\Documents\kol\mafia\src\game_reducer.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\kol\Documents\kol\mafia\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\kol\Documents\kol\mafia\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 3, 3, 21
"c:\Users\kol\Documents\kol\mafia\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\kol\Documents\kol\mafia\src\serviceWorker.js", "JavaScript", 0, 0, 0, 0, 0, 98, 0, 31, 13, 142
"c:\Users\kol\Documents\kol\mafia\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 4, 1, 6
"Total", "-", 16577, 34, 45, 20, 547, 2665, 7, 226, 384, 20505